Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Japanese Hands,Reg Strikes Back,1988,4:40,3,0.332,0.392,10,-10.685,1,0.033,0.29,0.0159,0.189,0.18,58.822,14
Goodbye Marlon Brando,Reg Strikes Back,1988,3:30,4,0.614,0.906,7,-6.512,1,0.0544,0.0298,0.00000694,0.395,0.938,134.89,12
The Camera Never Lies,Reg Strikes Back,1988,4:36,4,0.701,0.887,5,-7.402,1,0.0477,0.0197,0.000482,0.372,0.792,116.408,13
Heavy Traffic,Reg Strikes Back,1988,3:30,4,0.718,0.83,2,-8.655,1,0.0606,0.194,0,0.0404,0.953,101.955,12
Poor Cow,Reg Strikes Back,1988,3:50,4,0.723,0.823,0,-7.834,0,0.0297,0.0257,0.0000877,0.121,0.677,132.934,14
Since God Invented Girls,Reg Strikes Back,1988,4:54,4,0.501,0.493,8,-9.651,1,0.0271,0.328,0,0.162,0.103,68.412,12
Rope Around A Fool,Reg Strikes Back,1988,3:48,4,0.661,0.795,7,-7.915,1,0.0356,0.294,0,0.174,0.79,140.013,11
I Don't Wanna Go On With You Like That - Shep Pettibone Mix,Reg Strikes Back,1988,7:16,4,0.67,0.705,9,-10.967,0,0.0411,0.0000625,0.276,0.155,0.738,136.189,29
I Don't Wanna Go On With You Like That - Just Elton And His Piano Mix,Reg Strikes Back,1988,4:37,4,0.721,0.596,9,-11.57,0,0.0274,0.726,0.00198,0.0718,0.916,136.312,14
Mona Lisas And Mad Hatters (Part 2) - The Renaissance Mix,Reg Strikes Back,1988,6:19,4,0.784,0.634,7,-10.24,1,0.0433,0.0139,0.00377,0.0496,0.952,118.955,9
Durban Deep,Sleeping With The Past,1989,5:28,4,0.536,0.564,9,-11.506,0,0.0333,0.0035,0.0000205,0.296,0.62,139.219,23
Healing Hands,Sleeping With The Past,1989,4:29,4,0.626,0.809,2,-9.692,1,0.0276,0.00492,0.0000181,0.0353,0.788,112.321,42
Whispers,Sleeping With The Past,1989,5:26,4,0.659,0.453,8,-12.731,1,0.0307,0.0154,0.000616,0.0894,0.394,96.772,33
Club At The End Of The Street,Sleeping With The Past,1989,4:52,4,0.65,0.755,2,-9.645,1,0.0281,0.0000812,0.0145,0.326,0.782,124.844,39
Sleeping With The Past,Sleeping With The Past,1989,4:52,4,0.78,0.807,6,-9.14,1,0.0358,0.00532,0.000134,0.31,0.884,130.107,28
Stone's Throw From Hurtin',Sleeping With The Past,1989,4:44,4,0.779,0.534,5,-11.883,0,0.0455,0.0499,0.00268,0.0616,0.668,139.165,21
Sacrifice,Sleeping With The Past,1989,5:04,4,0.756,0.422,11,-12.967,0,0.0292,0.0165,0.00183,0.0368,0.487,112.751,74
I Never Knew Her Name,Sleeping With The Past,1989,3:28,3,0.607,0.721,10,-9.891,1,0.0271,0.000483,0.0000215,0.157,0.683,137.182,29
Amazes Me,Sleeping With The Past,1989,4:35,3,0.493,0.457,4,-11.071,1,0.0279,0.00175,0.00317,0.207,0.111,153.465,29
Blue Avenue,Sleeping With The Past,1989,4:18,4,0.633,0.441,8,-13.941,1,0.0258,0.37,0.00194,0.119,0.498,109.818,28
Dancing In The End Zone,Sleeping With The Past,1989,3:53,4,0.636,0.876,2,-8.041,1,0.0294,0.000216,0.339,0.277,0.91,142.028,18
Simple Life,The One,1992,6:26,4,0.663,0.788,5,-7.484,1,0.0314,0.00838,0.143,0.19,0.476,101.779,29
The One,The One,1992,5:53,4,0.426,0.647,10,-8.228,1,0.0279,0.0163,0.00118,0.106,0.311,75.944,57
Sweat It Out,The One,1992,6:38,4,0.581,0.85,9,-8.396,0,0.0325,0.00274,0.375,0.322,0.495,100.793,22
Runaway Train,The One,1992,5:22,4,0.546,0.88,10,-7.645,1,0.0437,0.0221,0.0497,0.049,0.716,109.08,34
Whitewash Country,The One,1992,5:30,4,0.541,0.913,7,-6.449,1,0.0298,0.00997,0.117,0.296,0.962,134.378,20
The North,The One,1992,5:15,4,0.522,0.467,0,-11.607,1,0.0263,0.0431,0.00596,0.125,0.285,73.59,29
When A Woman Doesn't Want You,The One,1992,4:55,3,0.535,0.454,7,-10.255,1,0.0258,0.0634,0.0000143,0.24,0.325,133.08,21
Emily,The One,1992,4:58,4,0.582,0.664,5,-8.897,1,0.025,0.00101,0.000971,0.0517,0.364,98.875,22
On Dark Street,The One,1992,4:43,4,0.65,0.857,10,-8.229,1,0.0385,0.0076,0.00284,0.116,0.735,115.095,19
Understanding Women,The One,1992,5:03,4,0.606,0.734,7,-9.726,1,0.0334,0.0172,0.0624,0.11,0.57,91.616,18
The Last Song,The One,1992,3:33,1,0.305,0.29,1,-12.623,1,0.0321,0.329,0,0.0896,0.088,124.664,38
Suit Of Wolves,The One,1992,5:48,4,0.459,0.728,5,-8.199,1,0.0339,0.00156,0.000242,0.145,0.22,82.442,17
Fat Boys And Ugly Girls,The One,1992,4:14,4,0.662,0.8,0,-9.018,1,0.0273,0.00461,0.0877,0.115,0.872,136.101,16
Believe,Made In England,1995,4:55,4,0.497,0.523,0,-9.306,0,0.0307,0.191,0.000102,0.141,0.194,138.061,46
Made In England,Made In England,1995,5:08,4,0.611,0.888,0,-8.463,1,0.0421,0.0356,0.00542,0.409,0.672,138.999,37
House,Made In England,1995,4:27,3,0.545,0.332,0,-11.767,1,0.0292,0.0472,0.00000314,0.222,0.189,124.004,30
Cold,Made In England,1995,5:37,4,0.52,0.555,10,-9.838,0,0.0262,0.0648,0.0000638,0.138,0.206,140.016,26
Pain,Made In England,1995,3:49,4,0.604,0.904,3,-7.231,1,0.0287,0.00535,0.00638,0.119,0.769,130.313,20
Belfast,Made In England,1995,6:30,4,0.185,0.234,7,-15.397,1,0.0358,0.67,0.000271,0.16,0.153,172.154,22
Latitude,Made In England,1995,3:34,3,0.522,0.476,7,-11.297,1,0.0265,0.213,0,0.311,0.581,142.94,21
Please,Made In England,1995,3:52,4,0.642,0.82,4,-8.513,1,0.0278,0.0454,0.000148,0.377,0.789,120.031,32
Man,Made In England,1995,5:15,4,0.55,0.447,0,-9.753,1,0.0309,0.0844,0.00000374,0.361,0.186,129.952,19
Lies,Made In England,1995,4:26,4,0.696,0.742,7,-7.641,0,0.0294,0.108,0.00171,0.173,0.837,125.991,21
Blessed,Made In England,1995,5:02,4,0.764,0.407,5,-11.999,1,0.0307,0.131,0.00534,0.297,0.458,101.988,50
Long Way From Happiness,The Big Picture,1997,4:46,4,0.464,0.443,2,-14.619,0,0.0285,0.384,0.022,0.381,0.11,169.992,20
Live Like Horses,The Big Picture,1997,5:02,4,0.457,0.364,1,-11.043,1,0.0308,0.291,0,0.237,0.119,130.064,31
The End Will Come,The Big Picture,1997,4:52,4,0.596,0.587,5,-8.099,1,0.0274,0.19,0.0000857,0.127,0.258,132.04,17
If The River Can Bend,The Big Picture,1997,5:21,4,0.55,0.844,5,-8.86,1,0.0359,0.126,0.00141,0.223,0.679,82.956,19
Love's Got A Lot To Answer For,The Big Picture,1997,5:00,4,0.497,0.361,7,-11.836,1,0.0291,0.613,0.00000237,0.106,0.142,133.952,17
Something About The Way You Look Tonight,The Big Picture,1997,5:08,4,0.48,0.52,6,-10.393,1,0.0268,0.208,0.000374,0.0788,0.511,143.503,48
The Big Picture,The Big Picture,1997,3:45,4,0.516,0.492,3,-9.682,1,0.0272,0.23,0.00000103,0.143,0.245,140.016,18
Recover Your Soul,The Big Picture,1997,5:18,4,0.725,0.653,7,-9.365,1,0.0238,0.134,0.00675,0.272,0.582,103.003,36
January,The Big Picture,1997,3:59,4,0.693,0.651,0,-7.89,1,0.0259,0.107,0.000547,0.118,0.489,116.057,16
I Can't Steer My Heart Clear Of You,The Big Picture,1997,4:07,4,0.553,0.526,10,-8.799,0,0.0295,0.26,0.000021,0.12,0.148,120.003,15
Wicked Dreams,The Big Picture,1997,4:39,4,0.592,0.916,0,-7.728,1,0.0486,0.00399,0.153,0.282,0.855,123.031,16
The Emperor's New Clothes,Songs From The West Coast,2001,4:28,4,0.649,0.63,0,-7.034,1,0.0313,0.344,0.0000452,0.0959,0.394,144.051,19
Dark Diamond,Songs From The West Coast,2001,4:26,4,0.708,0.82,1,-5.533,1,0.0266,0.0259,0.00346,0.0248,0.872,125.014,20
"Look Ma, No Hands",Songs From The West Coast,2001,4:22,4,0.582,0.765,4,-6.262,1,0.0303,0.0326,0.0011,0.136,0.614,87.943,18
American Triangle,Songs From The West Coast,2001,4:49,4,0.668,0.533,0,-7.215,0,0.0261,0.413,0.00142,0.0959,0.217,128.991,20
Original Sin,Songs From The West Coast,2001,4:49,4,0.689,0.635,1,-7.153,1,0.0251,0.12,0.000206,0.121,0.439,104.971,38
Birds,Songs From The West Coast,2001,3:52,4,0.562,0.884,0,-6.007,1,0.055,0.283,0.00155,0.0755,0.726,90.051,17
I Want Love,Songs From The West Coast,2001,4:35,4,0.444,0.697,9,-5.549,1,0.0281,0.0659,0.0000609,0.37,0.36,142.971,50
The Wasteland,Songs From The West Coast,2001,4:21,1,0.591,0.835,7,-6.153,0,0.0325,0.0772,0.00812,0.157,0.672,135.123,18
Ballad Of The Boy In The Red Shoes,Songs From The West Coast,2001,4:51,4,0.608,0.708,8,-6.113,1,0.0258,0.0923,0,0.138,0.57,126.026,18
Love Her Like Me,Songs From The West Coast,2001,3:58,4,0.702,0.877,9,-5.444,1,0.0295,0.216,0.000727,0.154,0.847,125.977,16
Mansfield,Songs From The West Coast,2001,4:53,4,0.611,0.626,10,-6.869,1,0.0327,0.0461,0.0000449,0.0659,0.544,133.843,16
This Train Don't Stop There Anymore,Songs From The West Coast,2001,4:38,4,0.393,0.637,8,-5.949,1,0.0357,0.0856,0.00000132,0.104,0.325,204.469,43
Your Song,Songs From The West Coast,2001,4:21,4,0.434,0.68,3,-5.119,1,0.0359,0.612,0.00348,0.101,0.255,131.237,38
Teardrops,Songs From The West Coast,2001,4:45,4,0.779,0.93,6,-3.849,0,0.0728,0.0855,0,0.0811,0.929,138.086,20
The North Star,Songs From The West Coast,2001,5:28,3,0.566,0.65,5,-5.517,1,0.0276,0.0416,0.000448,0.207,0.408,120.058,13
Original Sin - Junior’s Earth Mix Edit,Songs From The West Coast,2001,3:52,4,0.687,0.877,10,-5.835,0,0.0303,0.199,0.0038,0.126,0.903,124.012,14
Your Song - Almighty Mix Edit,Songs From The West Coast,2001,4:29,4,0.612,0.995,8,-6.829,1,0.0409,0.00302,0.479,0.34,0.672,135.956,16
Weight Of The World,Peachtree Road,2004,3:58,4,0.652,0.518,7,-9.374,1,0.0584,0.821,0.000655,0.377,0.284,127.96,17
Porch Swing In Tupelo,Peachtree Road,2004,4:38,4,0.597,0.507,5,-7.705,1,0.0384,0.791,0.00218,0.105,0.33,132.747,18
Answer In The Sky,Peachtree Road,2004,4:03,4,0.703,0.608,10,-7.99,1,0.0262,0.746,0.0345,0.123,0.507,111.089,28
Turn The Lights Out When You Leave,Peachtree Road,2004,5:02,4,0.554,0.619,7,-7.172,1,0.0271,0.525,0,0.162,0.249,84.011,29
My Elusive Drug,Peachtree Road,2004,4:12,4,0.609,0.413,5,-8.882,1,0.0324,0.831,0.00407,0.113,0.235,120.707,14
They Call Her The Cat,Peachtree Road,2004,4:27,4,0.756,0.896,5,-6.633,1,0.0379,0.496,0.0205,0.112,0.895,138.016,14
Freaks In Love,Peachtree Road,2004,4:31,3,0.607,0.462,10,-6.813,1,0.0288,0.722,0,0.0996,0.439,151.863,15
All That I'm Allowed (I'm Thankful),Peachtree Road,2004,4:52,4,0.733,0.583,1,-7.228,1,0.0336,0.755,0.000194,0.0826,0.228,96.111,28
I Stop And I Breathe,Peachtree Road,2004,3:39,4,0.599,0.409,10,-7.962,1,0.0306,0.845,0.000544,0.113,0.234,123.877,12
Too Many Tears,Peachtree Road,2004,4:14,4,0.558,0.545,9,-9.237,1,0.0353,0.755,0.0751,0.146,0.333,78.012,13
It's Getting Dark In Here,Peachtree Road,2004,3:50,4,0.643,0.444,8,-8.24,1,0.0263,0.832,0.000372,0.143,0.261,123.95,14
I Can't Keep This From You,Peachtree Road,2004,4:34,4,0.623,0.481,10,-7.641,1,0.0316,0.712,0.00349,0.0709,0.347,130.018,13
The Letter - Bonus Track,Peachtree Road,2004,2:30,4,0.688,0.356,3,-8.153,1,0.0285,0.702,0.0000526,0.122,0.258,119.969,12
Merry Christmas Maggie Thatcher - Bonus Track,Peachtree Road,2004,3:35,4,0.696,0.686,0,-5.158,1,0.0279,0.221,0,0.165,0.506,82.053,14
Electricity - Bonus Track,Peachtree Road,2004,3:29,4,0.568,0.441,4,-6.209,0,0.0326,0.184,0,0.0948,0.169,136.069,31
Postcards From Richard Nixon,The Captain and The Kid,2006,5:15,4,0.392,0.764,0,-6.761,1,0.0336,0.629,0.0102,0.18,0.422,163.79,15
Just Like Noah's Ark,The Captain and The Kid,2006,5:33,4,0.652,0.868,3,-4.574,1,0.0294,0.246,0.226,0.406,0.923,123.909,15
Wouldn't Have You Any Other Way (NYC),The Captain and The Kid,2006,4:38,4,0.595,0.501,5,-8.039,1,0.0272,0.629,0.000114,0.115,0.268,122.326,13
Tinderbox,The Captain and The Kid,2006,4:25,4,0.562,0.608,9,-6.587,1,0.0313,0.453,0.00627,0.12,0.321,73.284,19
And The House Fell Down,The Captain and The Kid,2006,4:48,4,0.57,0.663,0,-6.741,0,0.0756,0.205,0.124,0.111,0.596,171.95,16
Blues Never Fade Away,The Captain and The Kid,2006,4:45,4,0.682,0.49,3,-7.695,1,0.0271,0.641,0.000956,0.132,0.375,118.088,15
The Bridge,The Captain and The Kid,2006,3:38,4,0.48,0.312,1,-10.156,1,0.0323,0.951,0.0000235,0.108,0.178,110.883,29
I Must Have Lost It On The Wind,The Captain and The Kid,2006,3:53,4,0.624,0.691,2,-6.856,1,0.031,0.401,0.00144,0.121,0.736,81.04,13
Old 67,The Captain and The Kid,2006,4:01,4,0.571,0.666,0,-5.558,1,0.0272,0.659,0.00245,0.103,0.678,137.83,13
The Captain and The Kid,The Captain and The Kid,2006,5:01,4,0.603,0.699,5,-7.476,1,0.0292,0.283,0.0087,0.102,0.619,82.026,19
If It Wasn't For Bad,The Union,2010,3:42,4,0.719,0.758,2,-7.647,0,0.0308,0.51,0.0318,0.214,0.717,118.967,30
Eight Hundred Dollar Shoes,The Union,2010,3:22,3,0.519,0.358,3,-11.383,1,0.029,0.919,0.106,0.0876,0.136,93.163,15
Hey Ahab,The Union,2010,5:39,4,0.557,0.766,5,-7.604,0,0.0337,0.0632,0.512,0.125,0.22,110.219,20
Gone To Shiloh,The Union,2010,4:50,4,0.51,0.39,2,-12.511,0,0.0327,0.862,0.286,0.09,0.111,132.336,20
Jimmie Rodgers' Dream,The Union,2010,3:42,4,0.364,0.563,9,-9.437,1,0.0519,0.477,0.359,0.0976,0.387,174.001,17
There's No Tomorrow,The Union,2010,3:45,3,0.428,0.441,5,-9.614,0,0.0286,0.738,0.341,0.124,0.25,90.578,14
Monkey Suit,The Union,2010,4:46,4,0.642,0.811,9,-6.963,0,0.0316,0.23,0.702,0.122,0.861,118.728,15
The Best Part Of The Day,The Union,2010,4:45,4,0.589,0.503,7,-9.501,1,0.029,0.73,0.123,0.129,0.359,138.614,17
A Dream Come True,The Union,2010,5:06,4,0.557,0.763,0,-10.085,1,0.0349,0.35,0.797,0.136,0.766,118.751,14
When Love Is Dying,The Union,2010,4:50,4,0.45,0.455,10,-9.39,1,0.0306,0.711,0.514,0.0941,0.293,125.47,29
I Should Have Sent Roses,The Union,2010,5:20,4,0.647,0.547,9,-9.085,0,0.0258,0.393,0.495,0.119,0.465,74.941,15
Hearts Have Turned To Stone,The Union,2010,3:46,4,0.677,0.716,11,-7.927,0,0.0302,0.301,0.773,0.0829,0.712,94.941,12
Never Too Old (To Hold Somebody),The Union,2010,4:57,4,0.583,0.41,7,-10.705,1,0.033,0.913,0.101,0.106,0.315,124.855,15
In The Hands Of Angels,The Union,2010,4:43,3,0.429,0.276,2,-11.359,1,0.0281,0.895,0.135,0.116,0.249,93.188,12
Wonderful Crazy Night,Wonderful Crazy Night,2016,3:13,4,0.715,0.798,5,-5.281,1,0.0304,0.0864,0.00415,0.22,0.89,111.772,31
In The Name Of You,Wonderful Crazy Night,2016,4:33,4,0.486,0.818,8,-4.794,1,0.0344,0.114,0.0519,0.0789,0.584,81.278,23
Claw Hammer,Wonderful Crazy Night,2016,4:22,4,0.576,0.792,0,-6.086,1,0.0287,0.031,0.12,0.318,0.704,84.958,15
Blue Wonderful,Wonderful Crazy Night,2016,3:37,4,0.463,0.55,4,-6.442,1,0.0344,0.559,0.00167,0.0894,0.493,83.267,23
I've Got 2 Wings,Wonderful Crazy Night,2016,4:35,4,0.576,0.66,0,-6.799,1,0.0328,0.186,0.0534,0.128,0.584,86.407,16
A Good Heart,Wonderful Crazy Night,2016,4:50,4,0.474,0.649,3,-6.767,1,0.0261,0.0121,0.242,0.114,0.188,135.297,32
Looking Up,Wonderful Crazy Night,2016,4:06,4,0.464,0.875,2,-4.896,1,0.0316,0.0299,0.333,0.122,0.932,151.827,34
Guilty Pleasure,Wonderful Crazy Night,2016,3:38,4,0.529,0.936,7,-5.286,1,0.0452,0.00204,0.265,0.379,0.701,80.966,16
Tambourine,Wonderful Crazy Night,2016,4:17,4,0.498,0.663,7,-6.104,1,0.0261,0.101,0.00321,0.114,0.569,84.83,15
The Open Chord,Wonderful Crazy Night,2016,4:04,4,0.58,0.685,0,-6.746,1,0.0342,0.474,0.00116,0.154,0.637,81.975,15
Free And Easy,Wonderful Crazy Night,2016,3:55,4,0.581,0.501,7,-7.427,0,0.0277,0.199,0.000356,0.144,0.425,125.881,14
England And America,Wonderful Crazy Night,2016,3:51,4,0.382,0.871,10,-5.621,1,0.0333,0.0191,0.0374,0.0759,0.816,153.158,14